基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
519032,海富通上证非周期ETF联接,0P0000SPC4,2,2,30.42,中,19.38,中,0.50,偏低
263001,景顺长城上证180等权重ETF联接,0P0000VYEI,3,0,27.40,低,17.92,偏低,0.60,中
510230,国泰上证180金融ETF,0P0000SJBP,4,4,35.24,高,17.06,偏低,0.66,高
159925,南方开元沪深300ETF,0P0000Y2ZC,3,0,29.83,偏低,17.77,偏低,0.63,中
530010,建信上证社会责任ETF联接,0P0000NQ8V,4,4,28.28,低,15.36,低,0.69,高
510210,富国上证综指ETF,0P0000S0NX,4,3,28.42,低,17.54,偏低,0.65,中
165515,信诚沪深300指数分级,0P0000UVT3,3,0,27.88,低,17.29,偏低,0.54,偏低
100038,富国沪深300指数增强,F0000004HU,5,5,28.08,低,15.84,低,0.84,高
162509,国联安双禧中证100指数分级,F0000004J4,3,2,30.23,中,16.77,低,0.59,偏低
163407,兴全沪深300指数增强(LOF),0P0000PYRD,5,4,27.97,低,15.72,低,0.83,高
180003,银华-道琼斯88指数,F0000003WI,2,2,25.40,低,15.25,低,0.47,偏低
162307,海富通中证100指数(LOF),F0000004HB,3,3,30.80,中,16.38,低,0.62,中
180033,银华上证50等权ETF联接,0P0000WJ0C,2,0,29.03,偏低,17.51,偏低,0.49,偏低
510050,华夏上证50ETF,F0000003X3,3,3,31.41,中,16.39,低,0.64,中
161607,融通巨潮100指数(LOF),F0000003XL,3,2,31.54,中,17.78,偏低,0.57,偏低
320010,诺安中证100指数,F0000004HE,3,3,30.78,中,16.42,低,0.63,中
410008,华富中证100指数,F0000004I1,3,3,30.35,中,16.29,低,0.63,中
519180,万家180指数,F020519180,3,3,29.50,偏低,17.01,偏低,0.60,中
510110,海富通上证周期ETF,0P0000PRB7,3,2,33.11,高,16.77,低,0.60,中
540009,汇丰晋信消费红利股票,0P0000Q720,1,1,31.68,中,22.76,高,0.21,低
510120,海富通上证非周期ETF,0P0000SPC5,3,3,32.53,高,20.20,中,0.55,偏低
040180,华安上证180ETF联接,F0000004H4,4,4,28.89,偏低,16.53,低,0.66,中
510420,景顺长城上证180等权重ETF,0P0000VYEH,3,0,29.66,偏低,19.37,中,0.61,中
160615,鹏华沪深300指数(LOF),F0000004EU,4,3,29.00,偏低,17.69,偏低,0.67,高
510430,银华上证50等权ETF,0P0000WJ0B,3,0,31.46,中,18.03,偏低,0.58,偏低
510090,建信上证社会责任ETF,0P0000NQ8U,4,4,29.89,中,16.17,低,0.71,高
519686,交银上证180公司治理ETF联接,F0000004H6,3,3,31.02,中,16.64,低,0.64,中
161907,万家中证红利指数(LOF),0P0000SDP3,5,4,29.40,偏低,18.46,偏低,0.82,高
160127,南方新兴消费增长分级股票,0P0000V5IW,3,0,33.55,高,21.66,高,0.71,高
519100,长盛中证100指数,F00000041E,4,3,30.82,中,16.40,低,0.65,中
159923,大成中证100ETF,0P0000XWVD,3,0,31.29,中,16.47,低,0.62,中
040002,华安MSCI中国A股指数增强,F020040002,3,3,28.31,低,17.91,偏低,0.62,中
050013,博时上证超级大盘ETF联接,F0000004I9,4,2,28.49,低,15.38,低,0.66,中
510180,华安上证180ETF,F0000003Z5,3,3,30.82,中,17.55,偏低,0.64,中
110030,易方达沪深300量化增强,0P0000YYA9,5,0,28.80,偏低,16.98,偏低,0.81,高
240016,华宝兴业上证180价值ETF联接,F0000004J6,4,4,28.69,偏低,14.06,低,0.77,高
161207,国投瑞银瑞和沪深300指数,F0000004HF,4,3,29.02,偏低,17.68,偏低,0.66,中
510010,交银上证180公司治理ETF,F0000004H5,3,3,32.83,高,17.70,偏低,0.63,中
510270,中银上证国企100ETF,0P0000T3GX,3,2,32.11,中,17.29,偏低,0.63,中
510020,博时上证超级大盘ETF,F0000004I8,4,2,29.88,中,16.16,低,0.67,高
240014,华宝兴业中证100指数,F0000004H3,3,3,30.37,中,16.42,低,0.63,中
161715,招商中证大宗商品股票指数分级,0P0000W6ZO,3,0,30.26,中,20.96,中,0.66,中
470007,汇添富上证综合指数,F0000004G0,4,3,27.37,低,17.12,偏低,0.65,中
540012,汇丰晋信恒生A股行业龙头指数A,0P0000W2YB,4,0,28.95,偏低,16.57,低,0.70,高
213010,宝盈中证100指数增强,F0000004II,4,3,28.34,低,16.26,低,0.67,高
163808,中银中证100指数增强,F0000004GX,4,3,28.94,偏低,15.58,低,0.66,中
510030,华宝兴业上证180价值ETF,F0000004J5,5,4,30.70,中,14.69,低,0.79,高
481012,工银深证红利ETF联接,0P0000Q38N,4,4,29.18,偏低,16.76,低,0.76,高
160716,嘉实中证锐联基本面50指数(LOF),F0000004IB,5,5,33.28,高,14.66,低,0.86,高
100032,富国中证红利指数增强,F0000004DW,5,5,26.34,低,16.01,低,0.97,高
050021,博时深证基本面200ETF联接,0P0000SXP4,5,4,26.35,低,15.93,低,0.82,高
519671,银河沪深300价值指数,F0000004HX,4,4,29.39,偏低,15.66,低,0.77,高
110021,易方达上证中盘ETF联接,F0000004IV,3,3,29.56,偏低,19.41,中,0.60,偏低
162213,泰达宏利中证财富大盘指数A,F0000004J2,5,5,29.41,偏低,15.40,低,0.91,高
090010,大成中证红利指数,F0000004IE,5,4,28.75,偏低,17.81,偏低,0.85,高
110022,易方达消费行业股票,0P0000P5UD,4,5,23.57,低,15.58,低,0.72,高
510130,易方达上证中盘ETF,F0000004IU,3,3,30.41,中,19.61,中,0.61,中
202021,南方中证南方小康产业ETF联接,0P0000P6NB,4,3,34.06,高,17.72,偏低,0.71,高
159905,工银深证红利ETF,0P0000Q38M,4,3,30.79,中,17.66,偏低,0.76,高
159908,博时深证基本面200ETF,0P0000SXP3,5,4,27.72,低,16.92,低,0.82,高
050002,博时裕富沪深300指数A,F020050002,5,4,28.91,偏低,16.44,低,0.86,高
310398,申万菱信沪深300价值指数,F0000004IL,4,4,28.68,偏低,15.41,低,0.78,高
510160,南方中证南方小康产业ETF,0P0000P6NA,4,3,36.14,高,18.77,中,0.72,高
510880,华泰柏瑞上证红利ETF,F00000041G,4,4,28.44,低,17.02,偏低,0.78,高
510060,工银上证央企50ETF,F0000004GP,3,2,35.38,高,17.69,偏低,0.62,中
050024,博时上证自然资源ETF联接,0P0000VH6W,1,0,27.98,低,20.30,中,0.34,低
540006,汇丰晋信大盘股票A,F0000004FV,5,5,30.35,中,13.64,低,1.09,高
257060,国联安上证商品ETF联接,0P0000Q6QC,2,1,27.14,低,19.48,中,0.45,低
000311,景顺长城沪深300指数增强,0P0000ZK4P,5,0,29.55,偏低,17.18,偏低,0.88,高
070023,嘉实深证基本面120联接,0P0000TKOG,5,4,27.13,低,16.28,低,0.82,高
310318,申万菱信沪深300指数增强,0P0000YYAA,5,0,31.42,中,16.70,低,0.86,高
510170,国联安上证大宗商品股票ETF,0P0000Q6QQ,2,1,28.65,偏低,20.51,中,0.45,偏低
510410,博时上证自然资源ETF,0P0000VH6V,1,0,29.28,偏低,21.02,中,0.38,低
159910,嘉实深证基本面120ETF,0P0000TKOF,5,4,28.46,低,16.89,低,0.84,高
160620,鹏华资源分级,0P0000WUAN,2,0,30.51,中,21.09,高,0.49,偏低
690008,民生加银中证内地资源主题指数,0P0000VA6I,2,0,28.47,低,20.01,中,0.43,低
530015,建信深证基本面60ETF联接,0P0000TSI3,5,4,27.60,低,15.81,低,0.84,高
159930,汇添富中证能源ETF,0P0000Z3OT,1,0,25.84,低,18.50,偏低,0.12,低
161819,银华中证内地资源指数分级,0P0000UI8C,1,1,29.07,偏低,20.92,中,0.39,低
159916,建信深证基本面60ETF,0P0000TSI2,5,4,28.85,偏低,16.45,低,0.85,高
165520,信诚中证800有色指数分级,0P0000Z7V6,1,0,35.04,高,26.37,高,0.36,低
161217,国投瑞银中证上游资源产业指数(LOF),0P0000TI8Z,2,1,27.96,低,19.69,中,0.44,低
