基金代码,基金名称,晨星代码,三年评级,五年评级,波动幅度,波动幅度评价,晨星风险系数,晨星风险系数评价,夏普比率,夏普比率评价
161813,银华信用债券 (LOF),0P0000Z26P,3,3,4.18,偏低,1.73,偏低,1.65,偏低
395011,中海增强收益债券 - A,0P0000SHVS,2,2,7.59,高,4.76,高,0.75,低
070025,嘉实信用债券A,0P0000TT9P,3,3,4.05,偏低,1.89,偏低,1.85,中
000174,汇添富高息债债券A,0P0000YVNN,4,0,6.32,高,3.29,高,1.46,偏低
166008,中欧增强回报债券(LOF) -A,0P0000US5W,4,4,4.06,偏低,1.49,偏低,2.05,中
206004,鹏华信用增利债券 - B,0P0000NR3J,3,3,4.69,中,2.69,中,1.65,偏低
240003,华宝兴业宝康债券,F020240003,2,3,2.55,低,1.36,偏低,2.20,高
000123,汇添富实业债债券C,0P0000YUB9,4,0,4.16,偏低,1.81,偏低,2.04,中
750002,安信目标收益债券A,0P0000WUGM,3,0,2.98,低,1.68,偏低,2.11,中
750003,安信目标收益债券C,0P0000WUGN,2,0,3.05,低,1.77,偏低,1.91,中
164606,华泰柏瑞信用增利债券(LOF),0P000148NY,1,1,3.41,偏低,1.65,偏低,0.99,低
000130,大成景兴信用债债券A,0P0000YRW3,5,0,8.39,高,4.30,高,1.38,偏低
290009,泰信周期回报债券,0P0000S1A6,2,4,2.82,低,1.31,低,1.96,中
360009,光大保德信增利收益债券C,F0000004D6,2,1,3.96,偏低,2.30,中,1.14,低
180026,银华信用双利债券 - C,0P0000Q6RY,4,4,5.72,中,2.37,中,1.62,偏低
470078,汇添富增强收益债券C,F0000004HD,3,3,2.82,低,1.41,偏低,2.28,高
206003,鹏华信用增利债券 - A,0P0000NR3I,3,3,4.68,中,2.70,中,1.65,偏低
162712,广发聚利债券(LOF),0P00013Y2J,5,5,8.39,高,4.09,高,1.42,偏低
000175,汇添富高息债债券C,0P0000YVNO,4,0,6.30,高,3.35,高,1.40,偏低
519187,万家稳健增利债券 - C,F0000004GM,3,4,3.24,偏低,1.23,低,2.33,高
460003,华泰柏瑞金字塔稳本增利债券B,F00000044G,1,1,8.92,高,6.38,高,0.32,低
202102,南方多利增强债券 - C,F0000003Z4,3,3,3.45,偏低,1.66,偏低,2.05,中
519519,华泰柏瑞金字塔稳本增利债券A,F0000003Z7,1,1,8.92,高,6.35,高,0.34,低
202103,南方多利增强债券 - A,F0000004HI,3,4,3.45,偏低,1.63,偏低,2.14,中
000131,大成景兴信用债债券C,0P0000YRW4,5,0,8.43,高,4.38,高,1.34,偏低
519023,海富通稳健添利债券C,F0000004D0,1,2,3.04,低,1.90,偏低,1.25,低
519078,汇添富增强收益债券A,F00000047V,3,3,2.79,低,1.38,偏低,2.40,高
519186,万家稳健增利债券 - A,F0000004GL,4,4,3.24,偏低,1.19,低,2.45,高
253021,国联安增利债券B,F0000004EG,3,3,4.79,中,2.08,中,1.40,偏低
180025,银华信用双利债券 - A,0P0000Q6RX,4,4,5.73,中,2.34,中,1.67,偏低
121009,国投瑞银稳定增利债券,F00000044H,5,4,4.72,中,1.48,偏低,2.10,中
000104,华宸未来信用增利债券,0P0000Z5UN,3,0,7.08,高,4.05,高,1.10,低
253020,国联安增利债券A,F0000004EF,3,3,4.75,中,2.02,中,1.49,偏低
001001,华夏债券 - A/B,F020001001,2,2,2.97,低,1.91,偏低,1.58,偏低
270009,广发增强债券,F000000494,4,2,4.57,中,1.92,中,1.69,偏低
000122,汇添富实业债债券A,0P0000YUB8,4,0,4.23,偏低,1.83,偏低,2.11,中
360008,光大保德信增利收益债券A,F0000004D7,2,1,4.00,偏低,2.30,中,1.24,低
360013,光大保德信信用添益债券A,0P0000STW8,3,2,4.77,中,2.23,中,1.51,偏低
164210,天弘同利债券（LOF）,0P00018OX3,5,0,5.89,高,2.18,中,1.99,中
519024,海富通稳健添利债券A,F0000004FG,1,2,3.04,低,1.85,偏低,1.35,偏低
070005,嘉实债券,F020070005,2,2,2.99,低,1.45,偏低,1.78,中
360014,光大保德信信用添益债券C,0P0000STW9,3,2,4.74,中,2.25,中,1.46,偏低
519189,万家信用恒利债券 - C,0P0000WVYY,2,0,2.43,低,1.19,低,2.07,中
166004,中欧稳健收益债券 - C,F0000004F6,1,2,3.25,偏低,2.45,中,0.71,低
371120,上投摩根纯债债券 - B,F0000004FY,3,2,3.41,偏低,1.18,低,1.99,中
165311,建信信用增强债券（LOF）A,0P00013C4E,4,4,4.90,中,2.27,中,1.63,偏低
519669,银河领先债券,0P0000X7W3,4,0,2.83,低,0.87,低,2.81,高
166003,中欧稳健收益债券 - A,F0000004F5,1,2,3.26,偏低,2.40,中,0.85,低
590009,中邮稳定收益债券A,0P0000X4XQ,3,0,2.60,低,1.19,低,2.66,高
165509,信诚增强收益债券 (LOF),0P0000ZN08,5,5,9.37,高,3.70,高,1.28,低
000069,国投瑞银中高等级债券A,0P0000YGC8,3,0,3.11,偏低,1.22,低,2.44,高
020012,国泰金龙债券C,F0000004AZ,3,4,2.39,低,0.65,低,2.70,高
590010,中邮稳定收益债券C,0P0000X4XR,3,0,2.63,低,1.22,低,2.49,高
100058,富国产业债债券,0P0000UJ7Q,3,3,2.98,低,1.17,低,2.36,高
000070,国投瑞银中高等级债券C,0P0000YGC9,3,0,3.10,偏低,1.23,低,2.33,高
020002,国泰金龙债券A,F020020002,3,4,2.39,低,0.60,低,2.84,高
519725,交银双轮动 - C,0P0000Y7X1,2,0,3.17,偏低,2.04,中,1.25,低
519188,万家信用恒利债券 - A,0P0000WVYX,2,0,2.42,低,1.13,低,2.28,高
371020,上投摩根纯债债券 - A,F0000004FX,3,3,3.40,偏低,1.12,低,2.11,中
000025,大摩双利增强债券C,0P0000Y3WN,4,0,3.06,低,1.10,低,2.86,高
519666,银河银信添利债券 - B,F00000041Y,3,3,3.22,偏低,1.31,低,2.21,高
450018,国富恒久信用债券A,0P0000WM6H,3,0,4.59,中,1.01,低,1.55,偏低
660013,农银信用添利债券,0P0000W7FX,3,0,5.29,中,2.47,中,1.67,偏低
450019,国富恒久信用债券C,0P0000WM6I,3,0,4.63,中,1.08,低,1.51,偏低
519723,交银双轮动 - A/B,0P0000Y7X0,2,0,3.14,偏低,1.94,中,1.45,偏低
161614,融通四季添利债券(LOF),0P00012AM5,3,0,4.21,偏低,2.44,中,1.64,偏低
519667,银河银信添利债券 - A,F0000004AJ,3,3,3.23,偏低,1.26,低,2.33,高
686869,浙商聚盈信用债债券 - C,0P0000WLU8,1,0,6.25,高,3.97,高,0.61,低
161713,招商信用添利债券(LOF),0P00016H1K,1,1,8.05,高,6.58,高,0.27,低
161216,国投瑞银双债增利债券A,0P00012K9G,5,5,5.85,高,2.83,中,1.87,中
700006,平安大华添利债券 - C,0P0000X6Z9,4,0,5.50,中,1.68,偏低,1.54,偏低
650002,英大纯债 - C,0P0000Y9T4,3,0,2.80,低,0.79,低,2.89,高
000024,大摩双利增强债券A,0P0000Y3WM,4,0,3.00,低,1.07,低,2.93,高
270045,广发双债添利债券C,0P0000WPHR,3,0,3.79,偏低,2.16,中,1.52,偏低
650001,英大纯债 - A,0P0000Y9T3,4,0,2.89,低,0.75,低,3.14,高
161010,富国天丰强化债券(LOF),F0000004DG,4,3,5.39,中,2.15,中,1.62,偏低
700005,平安大华添利债券 - A,0P0000X6Z8,4,0,5.53,中,1.65,偏低,1.62,偏低
686868,浙商聚盈信用债债券 - A,0P0000WLU7,1,0,6.27,高,3.96,高,0.67,低
160217,国泰信用互利分级债券,0P0000UORO,3,4,2.56,低,1.01,低,2.71,高
420002,天弘永利债券 - A,F00000049H,3,3,3.87,偏低,2.32,中,1.82,中
370026,上投摩根轮动添利债券 - C,0P0000XRGW,1,0,4.80,中,2.80,中,0.77,低
270044,广发双债添利债券A,0P0000WPHQ,3,0,3.75,偏低,2.16,中,1.56,偏低
420102,天弘永利债券 - B,F00000049I,3,4,3.87,偏低,2.29,中,1.91,中
217022,招商产业债券A,0P0000VK5Y,5,0,3.43,偏低,0.93,低,3.05,高
217011,招商安心收益债券,F0000004D3,4,4,4.37,中,1.31,低,2.32,高
370021,上投摩根分红添利债券 - A,0P0000W4FQ,4,0,4.65,中,2.19,中,1.90,中
370022,上投摩根分红添利债券 - B,0P0000W4FR,3,0,4.68,中,2.23,中,1.80,中
040026,华安信用四季红债券,0P0000UN6G,2,3,2.70,低,1.46,偏低,2.20,高
217023,招商信用增强债券,0P0000WI7C,4,0,6.98,高,4.00,高,1.43,偏低
370025,上投摩根轮动添利债券 - A,0P0000XRGV,1,0,4.82,中,2.76,中,0.85,低
400009,东方稳健回报债券,F0000004DR,2,1,3.89,偏低,2.58,中,1.27,低
233005,大摩强收益债券,F0000004HY,4,5,3.26,偏低,1.52,偏低,2.84,高
160612,鹏华丰收债券,F0000004A0,2,2,5.13,中,3.42,高,1.30,偏低
206008,鹏华丰盛债券,0P0000SPC3,2,3,6.68,高,3.83,高,0.95,低
582202,东吴增利债券C,0P0000TJ9B,2,2,2.62,低,1.14,低,2.58,高
000286,银华信用季季红债券A,0P0000ZD5M,2,0,3.26,偏低,1.67,偏低,2.02,中
582002,东吴增利债券A,0P0000TJ9A,3,3,2.76,低,1.17,低,2.69,高
