基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
510010,交银上证180公司治理ETF,22.59,0.15,18.13,8.98,11.76
202021,南方中证南方小康产业ETF联接,31.33,7.47,22.25,9.16,24.28
159902,华夏中小企业板ETF,3.37,4.08,7.49,8.25,222.05
519686,交银上证180公司治理ETF联接,21.09,0.67,17.62,8.80,13.10
510120,海富通上证非周期ETF,18.78,1.61,14.39,8.81,15.09
040180,华安上证180ETF联接,19.46,2.24,17.38,8.65,23.25
320014,诺安上证新兴产业ETF联接,12.63,0.09,9.64,8.46,11.50
510180,华安上证180ETF,20.71,1.12,17.46,8.64,220.58
510190,华安上证龙头ETF,17.77,3.63,18.08,8.66,26.50
519116,浦银安盛沪深300指数增强,22.51,6.39,18.48,8.46,21.90
510210,富国上证综指ETF,18.57,2.24,16.97,8.70,23.24
159913,交银深证300价值ETF,16.49,5.85,17.18,8.54,46.90
040002,华安MSCI中国A股指数增强,18.14,3.33,15.67,8.48,329.39
000051,华夏沪深300ETF联接,17.65,3.21,16.80,8.44,9.30
160615,鹏华沪深300指数(LOF),21.97,3.72,17.39,8.46,41.25
460220,华泰柏瑞上证中小盘ETF联接,10.06,1.26,13.40,8.05,5.00
040190,华安上证龙头ETF联接,16.39,3.34,17.04,8.14,25.70
206010,鹏华深证民营ETF联接,0.66,-1.20,5.14,7.64,19.46
450008,国富沪深300指数增强,20.00,3.89,16.34,8.18,33.20
510050,华夏上证50ETF,22.81,1.06,18.17,8.02,246.51
510280,华宝兴业上证180成长ETF,20.10,3.33,16.24,7.83,40.40
470007,汇添富上证综合指数,19.02,2.19,16.48,7.97,12.37
100053,富国上证综指ETF联接,16.80,1.66,15.69,7.97,20.30
166007,中欧沪深300指数增强(LOF) -A,17.92,0.95,15.44,7.85,26.46
160706,嘉实沪深300ETF联接 (LOF),16.75,2.13,15.96,7.83,271.72
213010,宝盈中证100指数增强,21.72,2.98,17.39,7.89,12.10
233010,大摩深证300指数增强,8.42,4.08,12.62,8.01,43.00
161207,国投瑞银瑞和沪深300指数,23.80,4.81,17.50,7.89,11.18
519100,长盛中证100指数,21.36,2.45,18.00,7.79,70.00
110020,易方达沪深300ETF联接,17.59,2.59,16.06,7.71,13.19
660008,农银沪深300指数,17.11,1.56,15.89,7.65,11.99
519706,交银深证300价值ETF联接,15.40,4.66,15.64,7.70,40.10
510110,海富通上证周期ETF,17.42,-2.36,17.47,7.50,25.49
519180,万家180指数,18.79,0.12,15.76,7.54,225.24
159912,汇添富深证300ETF,4.84,1.35,11.16,7.29,26.60
410008,华富中证100指数,19.25,1.74,17.17,7.50,3.89
519300,大成沪深300指数,16.43,1.91,15.54,7.45,169.71
163808,中银中证100指数增强,24.47,4.74,17.64,7.48,7.36
320010,诺安中证100指数,19.77,1.91,17.45,7.42,2.40
510060,工银上证央企50ETF,22.46,-1.24,19.31,7.65,5.12
240019,华宝兴业上证180成长ETF联接,18.92,3.03,15.24,7.30,41.40
162307,海富通中证100指数(LOF),18.64,1.27,17.17,7.39,4.40
200002,长城久泰沪深300指数,19.79,2.72,15.79,7.33,271.86
481009,工银沪深300指数,16.84,1.27,15.54,7.30,47.55
240014,华宝兴业中证100指数,21.93,2.08,17.31,7.34,5.96
519032,海富通上证非周期ETF联接,15.93,-0.54,12.11,7.26,9.90
202015,南方开元沪深300ETF联接,19.09,1.08,15.23,7.13,39.79
020011,国泰沪深300指数,18.66,2.63,15.08,7.12,-27.14
165309,建信沪深300指数(LOF),16.64,0.89,15.06,7.08,2.20
290010,泰信中证200指数基金,11.64,2.19,12.69,6.99,5.68
164809,工银中证500指数分级,10.09,-0.52,9.26,7.76,45.42
519027,海富通上证周期ETF联接,15.01,-2.76,16.26,6.79,11.10
510270,中银上证国企100ETF,20.42,-0.10,17.55,6.80,21.12
470068,汇添富深证300ETF联接,4.54,0.63,9.54,6.23,30.45
399001,中海上证50指数增强,19.17,0.25,17.38,6.23,0.10
161607,融通巨潮100指数(LOF),20.23,0.05,15.20,6.34,249.61
160807,长盛沪深300指数(LOF),15.51,0.13,14.05,6.33,19.11
160415,华安深证300指数(LOF),7.05,0.08,10.11,6.11,20.00
162010,长城久兆中小板300指数分级,7.10,3.00,7.55,7.01,40.49
159901,易方达深证100ETF,8.77,1.93,12.97,5.62,312.64
110019,易方达深证100ETF联接,11.98,2.33,12.78,5.62,-0.54
510020,博时上证超级大盘ETF,31.11,5.80,18.29,5.78,-10.81
162509,国联安双禧中证100指数分级,19.11,0.35,15.71,5.62,21.59
217016,招商深证100指数,16.65,2.55,12.42,5.44,12.10
050013,博时上证超级大盘ETF联接,29.36,5.58,17.45,5.56,-9.54
180003,银华-道琼斯88指数,18.77,0.24,10.44,5.59,321.08
161604,融通深证100指数A,11.61,1.16,11.62,4.75,269.45
410010,华富中小板指数增强,-3.96,-2.72,4.28,4.91,28.60
161812,银华深证100指数分级,9.08,1.09,11.36,4.31,11.40
540009,汇丰晋信消费红利股票,24.17,5.11,2.18,4.13,-0.85
159906,大成深证成长40ETF,-1.22,0.74,6.67,3.89,-10.80
161816,银华中证等权90指数分级,16.55,-0.35,14.64,4.13,-4.92
090012,大成深证成长40ETF联接,1.00,1.12,6.51,3.72,-8.90
202017,南方深证成份ETF联接A,7.11,-3.07,9.95,2.36,-16.86
159903,南方深证成份ETF,5.82,-3.53,10.31,2.23,-19.74
160808,长盛同瑞中证200分级,10.24,-10.28,2.77,1.61,14.45
161612,融通深证成份指数,7.33,-4.69,8.44,1.18,-16.98
163109,申万菱信深证成指分级,5.26,-4.69,8.54,1.14,-24.76
257060,国联安上证商品ETF联接,22.36,0.79,9.73,-5.39,-42.00
161217,国投瑞银中证上游资源产业指数(LOF),31.76,1.14,9.70,-5.55,-32.80
510170,国联安上证大宗商品股票ETF,24.44,0.55,10.08,-5.75,-43.61
161819,银华中证内地资源指数分级,22.05,-2.51,8.15,-7.95,-30.49
165515,信诚沪深300指数分级,19.35,0.63,12.88,5.06,28.26
