基金代码,基金名称,一年回报率,两年回报率,三年回报率,五年回报率,总回报率
540001,汇丰晋信2016周期,-0.08,4.80,8.81,5.70,171.75
550007,信诚经典优债债券 - B,2.33,5.14,7.21,5.80,40.86
290007,泰信增强收益 - A,-0.33,2.25,5.85,5.65,34.39
582202,东吴增利债券C,4.76,6.17,8.34,5.53,34.16
395011,中海增强收益债券 - A,1.06,4.01,6.92,5.51,29.07
070026,嘉实信用债券C,0.35,7.96,8.73,5.52,35.84
371120,上投摩根纯债债券 - B,0.52,4.32,8.34,5.49,34.30
001001,华夏债券 - A/B,0.36,4.06,6.24,5.44,122.38
291007,泰信增强收益 - C,-0.75,1.84,5.44,5.27,30.64
217003,招商安泰债券 - A,-0.14,3.11,7.58,5.36,125.51
360013,光大保德信信用添益债券A,1.64,3.93,8.88,5.40,38.81
160612,鹏华丰收债券,4.68,5.54,8.47,5.43,70.50
070005,嘉实债券,1.11,5.10,6.95,5.34,153.66
395012,中海增强收益债券 - C,0.66,3.56,6.48,5.09,26.00
519024,海富通稳健添利债券A,2.08,5.11,5.72,5.11,34.22
360014,光大保德信信用添益债券C,1.35,3.59,8.52,5.11,36.51
001003,华夏债券 - C,-0.11,3.70,5.86,5.08,86.66
270009,广发增强债券,-0.05,6.43,9.47,5.13,65.72
217203,招商安泰债券 - B,-0.56,2.69,7.15,4.93,91.50
519023,海富通稳健添利债券C,1.79,4.86,5.39,4.78,35.84
166003,中欧稳健收益债券 - A,1.02,2.99,4.29,4.56,40.41
540005,汇丰晋信平稳增利债券A,-1.00,2.59,4.91,4.01,21.55
166004,中欧稳健收益债券 - C,0.57,2.54,3.81,4.10,35.68
164606,华泰柏瑞信用增利债券(LOF),-0.60,5.78,4.97,3.93,22.72
541005,汇丰晋信平稳增利债券C,-1.32,2.11,4.45,3.59,22.18
360008,光大保德信增利收益债券A,0.63,4.46,6.48,3.58,41.05
360009,光大保德信增利收益债券C,0.28,4.03,6.03,3.19,36.23
519519,华泰柏瑞金字塔稳本增利债券A,1.27,-0.81,4.38,3.34,44.37
460003,华泰柏瑞金字塔稳本增利债券B,0.99,-1.04,4.11,3.06,35.10
400009,东方稳健回报债券,0.08,4.21,6.63,2.76,26.69
253030,国联安信心增益债券,-17.38,-6.14,1.00,2.40,13.51
161713,招商信用添利债券(LOF),1.69,-3.65,3.41,0.61,6.48
