基金代码,基金名称,一年排名,一年百分比排名,两年排名,两年百分比排名,三年排名,三年百分比排名,五年排名,五年百分比排名
161813,银华信用债券 (LOF),131,70.81,57,34.13,76,54.29,28,33.33
020012,国泰金龙债券C,53,28.65,96,57.49,90,64.29,29,34.52
420002,天弘永利债券 - A,27,14.59,19,11.38,71,50.71,30,35.71
253020,国联安增利债券A,104,56.22,36,21.56,70,50.00,31,36.90
100058,富国产业债债券,124,67.03,128,76.65,75,53.57,32,38.10
519667,银河银信添利债券 - A,24,12.97,41,24.55,56,40.00,33,39.29
206003,鹏华信用增利债券 - A,3,1.62,17,10.18,49,35.00,34,40.48
253021,国联安增利债券B,122,65.95,51,30.54,82,58.57,35,41.67
160602,鹏华普天债券 - A,154,83.24,37,22.16,46,32.86,36,42.86
206004,鹏华信用增利债券 - B,4,2.16,14,8.38,50,35.71,37,44.05
395001,中海稳健收益债券,178,96.22,132,79.04,87,62.14,38,45.24
163806,中银增利债券,33,17.84,46,27.54,44,31.43,39,46.43
519078,汇添富增强收益债券A,71,38.38,75,44.91,86,61.43,40,47.62
288102,华夏稳定双利债券,137,74.05,35,20.96,64,45.71,41,48.81
161603,融通债券 - A/B,144,77.84,79,47.31,98,70.00,42,50.00
040026,华安信用四季红债券,30,16.22,24,14.37,94,67.14,43,51.19
519666,银河银信添利债券 - B,37,20.00,55,32.93,66,47.14,44,52.38
550006,信诚经典优债债券 - A,42,22.70,72,43.11,97,69.29,45,53.57
206008,鹏华丰盛债券,11,5.95,71,42.51,91,65.00,46,54.76
582002,东吴增利债券A,5,2.70,25,14.97,61,43.57,47,55.95
160608,鹏华普天债券 - B,165,89.19,52,31.14,54,38.57,48,57.14
240003,华宝兴业宝康债券,28,15.14,39,23.35,102,72.86,49,58.33
470078,汇添富增强收益债券C,88,47.57,92,55.09,89,63.57,50,59.52
070025,嘉实信用债券A,105,56.76,23,13.77,58,41.43,51,60.71
371020,上投摩根纯债债券 - A,118,63.78,106,63.47,69,49.29,52,61.90
540001,汇丰晋信2016周期,139,75.14,111,66.47,55,39.29,53,63.10
550007,信诚经典优债债券 - B,49,26.49,95,56.89,103,73.57,54,64.29
290007,泰信增强收益 - A,147,79.46,154,92.22,117,83.57,55,65.48
582202,东吴增利债券C,12,6.49,45,26.95,80,57.14,56,66.67
395011,中海增强收益债券 - A,57,30.81,124,74.25,105,75.00,57,67.86
070026,嘉实信用债券C,126,68.11,28,16.77,68,48.57,58,69.05
371120,上投摩根纯债债券 - B,132,71.35,119,71.26,81,57.86,59,70.24
001001,华夏债券 - A/B,142,76.76,126,75.45,114,81.43,60,71.43
291007,泰信增强收益 - C,163,88.11,158,94.61,125,89.29,61,72.62
217003,招商安泰债券 - A,157,84.86,141,84.43,95,67.86,62,73.81
360013,光大保德信信用添益债券A,73,39.46,137,82.04,63,45.00,63,75.00
160612,鹏华丰收债券,8,4.32,88,52.69,85,60.71,64,76.19
070005,嘉实债券,111,60.00,100,59.88,109,77.86,65,77.38
395012,中海增强收益债券 - C,75,40.54,133,79.64,110,78.57,66,78.57
519024,海富通稳健添利债券A,61,32.97,86,51.50,120,85.71,67,79.76
360014,光大保德信信用添益债券C,89,48.11,143,85.63,78,55.71,68,80.95
001003,华夏债券 - C,161,87.03,135,80.84,118,84.29,69,82.14
270009,广发增强债券,150,81.08,33,19.76,51,36.43,70,83.33
217203,招商安泰债券 - B,170,91.89,146,87.43,104,74.29,71,84.52
519023,海富通稳健添利债券C,72,38.92,102,61.08,127,90.71,72,85.71
166003,中欧稳健收益债券 - A,110,59.46,144,86.23,134,95.71,73,86.90
540005,汇丰晋信平稳增利债券A,168,90.81,148,88.62,130,92.86,74,88.10
166004,中欧稳健收益债券 - C,129,69.73,152,91.02,138,98.57,75,89.29
164606,华泰柏瑞信用增利债券(LOF),171,92.43,69,41.32,131,93.57,76,90.48
541005,汇丰晋信平稳增利债券C,175,94.59,157,94.01,133,95.00,77,91.67
360008,光大保德信增利收益债券A,123,66.49,114,68.26,112,80.00,78,92.86
360009,光大保德信增利收益债券C,135,72.97,125,74.85,116,82.86,79,94.05
519519,华泰柏瑞金字塔稳本增利债券A,127,68.65,164,98.20,135,96.43,80,95.24
460003,华泰柏瑞金字塔稳本增利债券B,138,74.59,165,98.80,136,97.14,81,96.43
400009,东方稳健回报债券,149,80.54,122,73.05,113,80.71,82,97.62
253030,国联安信心增益债券,185,100.00,167,100.00,140,100.00,83,98.81
161713,招商信用添利债券(LOF),79,42.70,166,99.40,139,99.29,84,100.00
